Some [DET] plant [NOUN] varieties [NOUN] can [AUX] grow [VERB] up [ADP] to [PART] <mask> feet [NOUN] tall [ADJ] . [PUNCT]	nine
Histiocytosis [PROPN] represents [VERB] <mask> related [VERB] diseases [NOUN] which [PRON] range [VERB] from [ADP] benign [ADJ] to [AUX] aggressive [ADJ] . [PUNCT]	three
Latin [ADJ] verbs [NOUN] have [VERB] <mask> principal [ADJ] parts [NOUN] . [PUNCT]	four
Numbers [NOUN] can [AUX] be [AUX] positive [ADJ] or [CCONJ] <mask> only [ADV] . [PUNCT]	zero
White [ADJ] men [NOUN] have [VERB] <mask> times [NOUN] the [DET] risk [NOUN] of [ADP] blacks [NOUN] of [ADP] developing [VERB] testicular [ADJ] cancer [NOUN] . [PUNCT]	four
Calves [NOUN] are [AUX] totally [ADV] dependent [ADJ] on [ADP] their [PRON] mother [NOUN] for [ADP] the [DET] first [ADJ] <mask> months [NOUN] . [PUNCT]	three
Black [ADJ] bears [NOUN] are [AUX] about [ADV] <mask> metres [NOUN] tall [ADJ] . [PUNCT]	two
Lobelia [PROPN] Take [VERB] <mask> capsules [NOUN] after [ADP] three [NUM] meals [NOUN] each [DET] day [NOUN] . [PUNCT]	two
Lobelia [PROPN] Take [VERB] two [NUM] capsules [NOUN] after [ADP] <mask> meals [NOUN] each [DET] day [NOUN] . [PUNCT]	three
Adolescent [ADJ] males [NOUN] are [AUX] <mask> times [NOUN] more [ADV] likely [ADJ] than [ADP] adolescent [ADJ] females [NOUN] to [PART] commit [VERB] suicide [NOUN] . [PUNCT]	four
Tomatoes [NOUN] require [VERB] about [ADV] <mask> to [ADP] eight [NUM] weeks [NOUN] from [ADP] seeding [NOUN] until [SCONJ] they [PRON] reach [VERB] transplant [NOUN] size [NOUN] . [PUNCT]	six
Tomatoes [NOUN] require [VERB] about [ADV] six [NUM] to [PART] <mask> weeks [NOUN] from [ADP] seeding [NOUN] until [SCONJ] they [PRON] reach [VERB] transplant [NOUN] size [NOUN] . [PUNCT]	eight
Deer [NOUN] ticks [NOUN] carry [VERB] all [DET] <mask> diseases [NOUN] . [PUNCT]	three
Homosexuals [NOUN] have [VERB] <mask> times [NOUN] the [DET] rate [NOUN] of [ADP] alcoholism [NOUN] , [PUNCT] drug [NOUN] abuse [NOUN] and [CCONJ] suicide [NOUN] as [ADP] heterosexuals [NOUN] . [PUNCT]	three
